xValue, yValue, zValue ,Button,xGyro, yGyro, zGyro 
-0.99560547,-8.9296875,2.2109375,21,-0.2854004,-0.31298828,0.38305664
-0.78027344,-9.8125,1.7353516,21,-0.053466797,0.04650879,-0.05645752
-0.7680664,-9.078125,2.0703125,21,0.31347656,0.16772461,-0.23303223
-0.9213867,-9.6796875,1.6923828,21,-0.09283447,-0.101379395,0.074401855
-0.32299805,-10.6640625,1.8955078,21,0.49121094,0.27197266,-0.29907227
-0.828125,-9.84375,1.7451172,21,-0.1694336,-0.12683105,0.14562988
-0.7729492,-9.5234375,2.0605469,21,0.26245117,0.16564941,-0.24584961
-1.0029297,-9.4921875,1.6582031,21,-0.15344238,-0.15673828,0.15527344
-0.18908691,-10.7109375,1.8095703,21,0.33496094,0.20715332,-0.37036133
-1.0341797,-9.453125,1.7900391,21,-0.14282227,-0.10455322,0.10205078
-0.12927246,-8.9140625,2.1210938,21,0.37109375,0.29541016,-0.28735352
-1.0644531,-9.4140625,2.09375,21,-0.15344238,-0.115234375,0.17553711
-0.093322754,-8.9609375,2.625,21,0.28051758,0.23486328,-0.19372559
-1.0576172,-9.3125,1.3974609,21,-0.10345459,-0.20031738,0.2956543
-0.16040039,-8.65625,2.9726562,21,0.30932617,0.24865723,-0.24047852
-1.1054688,-9.1875,1.5625,21,-0.18115234,-0.29711914,0.38085938
-0.6772461,-9,2.6621094,21,0.17211914,0.15283203,-0.13830566
-0.8378906,-9.5625,1.8720703,21,-0.38012695,-0.36206055,0.36816406
-0.7944336,-9.53125,1.8554688,21,-0.064086914,0.032684326,-0.064941406
-0.81640625,-8.9921875,2.4667969,21,-0.12261963,-0.12054443,0.049957275
-0.84228516,-9.7734375,2.1855469,21,0.08911133,0.1060791,-0.07342529
-0.81640625,-8.3984375,2.3925781,21,-0.1854248,-0.18225098,0.117004395
-0.81152344,-9.34375,2.8125,21,0.0869751,0.08477783,-0.024520874
-0.98876953,-8.2109375,2.6640625,21,-0.39379883,-0.17907715,0.14245605
-1.03125,-10.3984375,1.6396484,21,-0.04067993,0.092285156,-0.03302002
-0.6269531,-9.8359375,2.5527344,21,-0.11730957,-0.024765015,-0.03515625
-0.9145508,-9.375,1.9121094,21,-0.033233643,-0.034332275,0.088256836
-0.2919922,-9.9296875,2.6035156,21,0.265625,0.074157715,-0.14147949
-1.0507812,-9.8359375,2.1152344,21,0.05505371,0.025238037,0.018035889
-0.03829956,-9.34375,3.3964844,21,0.37524414,0.33789062,-0.11816406
-1.5273438,-8.484375,2.1582031,21,-0.7055664,-0.64697266,0.40625
-0.1986084,-9.0703125,3.5859375,21,0.34765625,0.38061523,-0.29052734
-1.03125,-9.0859375,2.4101562,21,-0.37695312,-0.41845703,0.3149414
-0.66796875,-7.8007812,3.4316406,21,0.06890869,0.16882324,-0.12561035
-1.0527344,-8.9921875,2.4980469,21,-0.45361328,-0.22802734,0.15734863
-0.9863281,-9.265625,2.9296875,21,-0.04812622,0.024169922,-0.074523926
-0.84716797,-8.4296875,3.0488281,21,-0.24816895,-0.1184082,-0.006439209
-0.8808594,-9.5859375,2.8222656,21,0.024215698,0.04864502,0.045684814
-0.84472656,-8.6953125,2.921875,21,-0.17578125,-0.099243164,-0.009628296
-0.9453125,-9.6796875,2.7832031,21,0.048675537,0.011398315,0.05847168
-0.99316406,-8.4921875,3.3261719,21,-0.05239868,-0.005619049,0.01058197
-1.0605469,-9.625,2.7324219,21,-0.08642578,-0.077941895,0.057403564
-1.0478516,-8.8671875,3.1679688,21,-0.08642578,-0.043914795,-0.11920166
-1.0029297,-9.6796875,2.8964844,21,-0.047058105,-0.013069153,0.02760315
-0.9189453,-9.296875,2.4941406,21,-0.22583008,-0.1194458,-0.05645752
-0.8925781,-8.53125,3.2675781,21,0.14648438,0.13476562,-0.12347412
-0.95996094,-9.2890625,2.5371094,21,-0.24609375,-0.3034668,0.36157227
-1.0410156,-8.578125,3.4746094,21,0.104003906,0.16992188,-0.1862793
-1.0957031,-9.5,2.7714844,21,-0.31396484,-0.38330078,0.34887695
-0.7397461,-9.3671875,3.234375,21,0.1295166,0.14758301,-0.16711426
-1.0146484,-9.40625,2.4765625,21,-0.34814453,-0.3503418,0.3010254
-1.0146484,-9.6484375,2.9921875,21,0.052947998,0.116760254,-0.114990234
-0.8520508,-9.015625,2.8046875,21,-0.00983429,-0.03753662,-0.097961426
-1.0478516,-9.34375,2.5625,21,-0.16723633,-0.096069336,0.103149414
-0.24890137,-10.3984375,2.8378906,21,0.74316406,0.32739258,-0.2861328
-1.1914062,-9.7109375,2.3789062,21,-0.50341797,-0.35253906,0.26049805
-0.014358521,-8.9453125,2.6875,21,0.60498047,0.32299805,-0.35546875
-1.0839844,-9.3671875,2.6738281,21,-0.28637695,-0.16516113,0.19042969
-0.32080078,-8.359375,3.9257812,21,0.2454834,0.23266602,-0.1373291
-1.1318359,-9.0546875,2.5839844,21,-0.11517334,-0.28759766,0.32128906
-1.0029297,-8.953125,3.7128906,21,0.09338379,0.13476562,-0.10858154
-0.9404297,-8.828125,3.0488281,21,-0.6376953,-0.36523438,0.19042969
-1.0429688,-9.8203125,2.9003906,21,-0.03643799,0.037994385,-0.024520874
-0.5913086,-9.3203125,2.9765625,21,-0.08215332,-0.03326416,-0.1138916
-0.89990234,-9.7734375,2.6757812,21,0.009315491,0.055023193,-0.020263672
-0.47875977,-9.5234375,3.0390625,21,0.090148926,0.064575195,-0.16711426
-1.0410156,-10.265625,2.1386719,21,-0.046020508,-0.105651855,0.12976074
-0.46679688,-9.8046875,2.6777344,21,-0.013023376,0.097595215,-0.25756836
-1.0771484,-9.2265625,2.1953125,21,-0.011962891,-0.04711914,0.12121582
-0.1005249,-10.4765625,2.8007812,21,0.72314453,0.24230957,-0.3244629
-1.1533203,-9.5703125,2.3710938,21,-0.35888672,-0.23010254,0.20214844
-0.22021484,-8.0078125,3.2929688,21,0.6879883,0.33789062,-0.37768555
-1.1962891,-9.3515625,2.6269531,21,-0.38012695,-0.26293945,0.24890137
-0.1315918,-9.6953125,3.1230469,21,0.6616211,0.44433594,-0.39379883
-0.90234375,-8.7734375,2.375,21,-0.31079102,-0.1854248,0.27539062
-0.7993164,-8.3984375,3.5996094,21,0.2763672,0.23803711,-0.21386719
-0.9716797,-9.234375,2.5742188,21,-0.5864258,-0.5341797,0.47021484
-0.86865234,-8.46875,3.4082031,21,0.061462402,0.14013672,-0.07556152
-0.8881836,-9.8359375,2.75,21,-0.49291992,-0.2364502,0.10845947
-0.72509766,-10.59375,2.3007812,21,-0.020477295,0.013526917,0.021224976
-0.9501953,-8.890625,3.2480469,21,0.25073242,0.10290527,-0.16601562
-1.0097656,-9.4375,2.7539062,21,-0.07366943,-0.015197754,0.057403564
-0.59814453,-9.0703125,3.6328125,21,0.7314453,0.21459961,-0.26171875
-0.9145508,-9.84375,2.1328125,21,-0.4501953,-0.25024414,0.20739746
-0.2919922,-9.4296875,3.3535156,21,0.6743164,0.32202148,-0.32885742
-1.0458984,-9.53125,2.6464844,21,-0.22045898,-0.09710693,0.19042969
-0.27514648,-8.375,3.2382812,21,0.93066406,0.40942383,-0.39257812
-1.0576172,-9.453125,2.75,21,-0.59814453,-0.26635742,0.24255371
-0.24890137,-9.7109375,3.2421875,21,0.44018555,0.33911133,-0.3190918
-0.8017578,-8.65625,2.828125,21,-0.19812012,-0.24291992,0.25952148
-0.859375,-10.1171875,2.8632812,21,-0.15026855,0.064575195,-0.059631348
-0.81152344,-9.09375,2.7480469,21,-0.20983887,-0.105651855,-0.07342529
-0.8496094,-10.0390625,2.8222656,21,0.21887207,0.1295166,-0.093688965
-0.93847656,-8.71875,3.1738281,21,-0.23327637,-0.08862305,0.0446167
-0.9526367,-9.109375,2.6738281,21,-0.025787354,0.008209229,0.007392883
-0.2944336,-9.3671875,3.2285156,21,0.27734375,0.069885254,-0.27124023
-0.84033203,-9.640625,2.4628906,21,-0.21618652,-0.068359375,0.093566895
-0.27514648,-8.734375,3.1855469,21,0.63183594,0.23693848,-0.3256836
-0.890625,-10.078125,2.5703125,21,-0.3671875,-0.17260742,0.17333984
-0.2705078,-8.578125,3.2949219,21,0.75927734,0.30493164,-0.29248047
-0.9428711,-8.9140625,2.71875,21,-0.3395996,-0.3449707,0.2915039
-0.63183594,-7.359375,4.4648438,21,0.19018555,0.15612793,-0.1373291
-0.92626953,-9.3984375,2.5605469,21,-0.6542969,-0.44067383,0.26367188
-0.5024414,-8.375,3.4746094,21,0.058258057,0.07098389,-0.11920166
-0.8833008,-9.21875,2.8125,21,-0.30444336,-0.24609375,0.22973633
-0.8496094,-10.4921875,2.7832031,21,-0.0725708,-0.019454956,-0.001117706
-0.75146484,-9.2578125,2.7050781,21,-0.19384766,-0.041778564,-0.112854004
-0.859375,-9.53125,2.5390625,21,0.050811768,0.030548096,-0.020263672
-0.51708984,-9.375,2.9316406,21,0.43164062,0.19335938,-0.25
-1.0126953,-9.4375,2.6367188,21,-0.16516113,-0.101379395,0.091430664
-0.18664551,-8.3203125,3.1464844,21,0.5209961,0.24121094,-0.296875
-1.1269531,-9.484375,2.5917969,21,-0.4152832,-0.17480469,0.23828125
-0.10290527,-8.78125,3.1503906,21,0.671875,0.33276367,-0.32763672
-0.9526367,-9.4140625,2.875,21,-0.2524414,-0.06518555,0.10845947
-0.265625,-8.078125,3.2480469,21,0.48388672,0.23913574,-0.27563477
-0.9863281,-9.125,2.7734375,21,-0.46313477,-0.24291992,0.2446289
-0.35424805,-8.234375,3.703125,21,0.35717773,0.2709961,-0.1829834
-0.9428711,-8.671875,2.796875,21,-0.49389648,-0.41845703,0.36816406
-0.828125,-9.59375,3.1347656,21,0.15405273,0.15393066,-0.12658691
-0.7060547,-9.21875,2.7265625,21,-0.18432617,-0.093933105,0.079711914
-0.8305664,-9.8828125,2.7910156,21,0.09655762,0.12841797,-0.09472656
-0.63671875,-8.90625,3.2460938,21,-0.33740234,-0.16516113,0.038238525
-1.0507812,-9.5625,2.3242188,21,-0.10345459,-0.005619049,0.049957275
-0.21057129,-9.5625,3.2363281,21,0.37646484,0.11462402,-0.13513184
-0.8618164,-9.6484375,2.890625,21,-0.18859863,-0.06732178,0.042510986
-0.32543945,-7.7421875,3.5449219,21,0.44970703,0.30493164,-0.19042969
-1.0195312,-9.4140625,2.5722656,21,-0.53125,-0.38330078,0.29785156
-0.24890137,-9.53125,3.6816406,21,0.33813477,0.25927734,-0.20544434
-0.8496094,-9.2421875,2.7421875,21,-0.53222656,-0.43554688,0.32763672
-0.6772461,-7.2734375,4.1054688,21,0.12420654,0.13793945,-0.1138916
-0.8833008,-9.28125,3.1640625,21,-0.39697266,-0.26098633,0.14990234
-0.7373047,-9.8359375,3.0605469,21,-0.014091492,-0.00774765,0.015899658
-0.60546875,-9.34375,3.1035156,21,0.1550293,0.064575195,-0.097961426
-0.8520508,-9.2734375,2.671875,21,-0.020477295,-0.02583313,0.047821045
-0.2800293,-9.6796875,3.3691406,21,0.5048828,0.22424316,-0.26708984
-0.92871094,-9.328125,2.9160156,21,-0.22363281,-0.084350586,0.17224121
-0.28710938,-8.40625,3.5136719,21,0.6826172,0.3486328,-0.30737305
-0.93603516,-9.3671875,2.9492188,21,-0.5522461,-0.28320312,0.25952148
-0.35424805,-8.59375,3.5878906,21,0.6123047,0.34448242,-0.296875
-0.89746094,-8.8671875,3.0371094,21,-0.5522461,-0.31103516,0.2244873
-0.84033203,-6.8710938,4.8125,21,0.21679688,0.13269043,-0.12030029
-0.890625,-8.984375,3.3222656,21,-0.84521484,-0.3227539,0.12335205
-0.72753906,-9.375,3.3027344,21,0.18798828,0.09863281,-0.041534424
-0.8041992,-9.734375,2.640625,21,-0.4194336,-0.23120117,0.15527344
-0.8330078,-9.2890625,3.4042969,21,0.2019043,0.1295166,-0.10644531
-0.8642578,-9.0625,3.1191406,21,-0.35131836,-0.23327637,0.16052246
-0.7753906,-9.8984375,2.8535156,21,-0.087524414,0.006080627,-0.043670654
-0.8330078,-9.2265625,2.8808594,21,-0.41723633,-0.17578125,0.070129395
-0.75634766,-9.6640625,2.5878906,21,-0.033233643,0.008209229,0.006328583
-0.6245117,-9.2734375,3.7890625,21,-0.10345459,-0.02796936,-0.031951904
-0.79003906,-9.65625,2.3125,21,-0.8354492,-0.24609375,0.053131104
-0.48339844,-9.984375,2.8964844,21,0.5444336,0.16455078,-0.1340332
-0.8041992,-9.515625,2.6582031,21,-0.22692871,-0.091796875,0.1595459
